,reward
0,479.0
1,-607.0
2,-630.0
3,-630.0
4,-630.0
5,470.0
6,-600.0
7,-630.0
8,-655.0
9,-300.0
10,-300.0
11,-300.0
12,-691.0
13,-768.0
14,-663.0
15,-300.0
16,-743.0
17,-300.0
18,-831.0
19,-300.0
20,-300.0
21,-300.0
22,-737.0
23,-820.0
24,-300.0
25,-300.0
26,-300.0
27,-724.0
28,-300.0
29,353.0
30,-561.0
31,-789.0
32,-300.0
33,-816.0
34,-676.0
35,-624.0
36,-300.0
37,-682.0
38,-300.0
39,-680.0
40,-822.0
41,-300.0
42,-300.0
43,-300.0
44,-300.0
45,-751.0
46,-300.0
47,-300.0
48,-300.0
49,-300.0
50,-300.0
51,-300.0
52,-300.0
53,-300.0
54,-300.0
55,-822.0
56,-811.0
57,-300.0
58,-300.0
59,-679.0
60,-300.0
61,-778.0
62,-300.0
63,-300.0
64,-300.0
65,-300.0
66,-784.0
67,-300.0
68,-300.0
69,-300.0
70,-300.0
71,-755.0
72,-300.0
73,-300.0
74,-651.0
75,-300.0
76,-714.0
77,-300.0
78,-800.0
79,-701.0
80,302.0
81,-724.0
82,-300.0
83,-300.0
84,-300.0
85,-300.0
86,-300.0
87,-300.0
88,-617.0
89,-776.0
90,-300.0
91,-300.0
92,-300.0
93,-300.0
94,-690.0
95,-626.0
96,-300.0
97,-591.0
98,-300.0
99,-300.0
100,-300.0
101,-673.0
102,-300.0
103,-300.0
104,472.0
105,-300.0
106,-300.0
107,-300.0
108,-300.0
109,-300.0
110,-783.0
111,-300.0
112,-300.0
113,-300.0
114,-300.0
115,-300.0
116,-300.0
117,-797.0
118,-300.0
119,-300.0
120,-300.0
121,-707.0
122,-624.0
123,-795.0
124,-300.0
125,-300.0
126,-300.0
127,-300.0
128,-300.0
129,-300.0
130,-300.0
131,-300.0
132,-300.0
133,-300.0
134,-714.0
135,-300.0
136,-300.0
137,-300.0
138,-300.0
139,-300.0
140,235.0
141,-622.0
142,-300.0
143,-300.0
144,-676.0
145,-300.0
146,-711.0
147,-300.0
148,-300.0
149,-300.0
150,-300.0
151,-300.0
152,-300.0
153,-300.0
154,-300.0
155,-300.0
156,-300.0
157,-750.0
158,-300.0
159,-782.0
160,-300.0
161,-608.0
162,-300.0
163,-300.0
164,-782.0
165,-810.0
166,-620.0
167,-300.0
168,-736.0
169,-791.0
170,-300.0
171,-791.0
172,-639.0
173,-605.0
174,-300.0
175,-300.0
176,-300.0
177,-833.0
178,-604.0
